playerId,displayName,overrideValue,looksAbbreviated,knownNames
b2a79f17,B Laughlin,,yes,B Laughlin
dd09ff8e,B Lee,,yes,B Lee
d5130a30,B Sai Sudharsan,B Sai Sudharsan,yes,B Sai Sudharsan
6834d1f2,B Stanlake,,yes,B Stanlake
f4f0fafd,B Sumanth,,yes,B Sumanth
dc4686e6,BA Bhatt,,yes,BA Bhatt
e087956b,BA Stokes,,yes,BA Stokes
ea0cdc12,BAW Mendis,,yes,BAW Mendis
b8a55852,BB McCullum,,yes,BB McCullum
53f27a35,BB Samantray,,yes,BB Samantray
d8b2f218,BB Sran,,yes,BB Sran
2e11c706,BCJ Cutting,,yes,BCJ Cutting
b56dc5f7,BE Hendricks,,yes,BE Hendricks
b0c772ee,BJ Haddin,,yes,BJ Haddin
b57f8a9a,BJ Hodge,,yes,BJ Hodge
27af6414,BJ Rohrer,,yes,BJ Rohrer
5d1e7582,BKG Mendis,,yes,BKG Mendis
9868bc75,BMAJ Mendis,,yes,BMAJ Mendis
272d796e,BR Dunk,,yes,BR Dunk
c2dd89ea,BR Sharath,,yes,BR Sharath
f3171936,BW Hilfenhaus,,yes,BW Hilfenhaus
172dff15,C Bosch,,yes,C Bosch
94d7f855,C de Grandhomme,,yes,C de Grandhomme
798934ea,C Ganapathy,,yes,C Ganapathy
2eeb4370,C Madan,,yes,C Madan
af2c687b,C Munro,,yes,C Munro
f24ca2ba,C Nanda,,yes,C Nanda
2cdce1be,C Sakariya,,yes,C Sakariya
c995d726,CA Ingram,,yes,CA Ingram
45eda7c8,CA Lynn,,yes,CA Lynn
d4f9dbd4,CA Pujara,,yes,CA Pujara
db584dad,CH Gayle,,yes,CH Gayle
8abdf100,CJ Anderson,,yes,CJ Anderson
1cb14aa4,CJ Dala,,yes,CJ Dala
9b4935c8,CJ Ferguson,,yes,CJ Ferguson
19b9f399,CJ Green,,yes,CJ Green
ffe699c0,CJ Jordan,,yes,CJ Jordan
94eac556,CJ McKay,,yes,CJ McKay
cfad138c,CK Kapugedera,,yes,CK Kapugedera
d1c94b25,CK Langeveldt,,yes,CK Langeveldt
d0513f63,CL White,,yes,CL White
30a2649b,CM Gautam,,yes,CM Gautam
e342e5fb,CR Brathwaite,,yes,CR Brathwaite
4c5d73db,CR Woakes,,yes,CR Woakes
342d8ade,CRD Fernando,,yes,CRD Fernando
d7a57f75,D du Preez,,yes,D du Preez
f0af99a7,D Ferreira,,yes,D Ferreira
8dc152d1,D Jansen,,yes,D Jansen
94bc776b,D Kalyankrishna,,yes,D Kalyankrishna
2c25d4f5,D Padikkal,,yes,D Padikkal
